名称,種類,所在地,関連URL,写真,回収地区,回収日,回収品目,その他情報,コメント,経度,緯度
西鶴間第二  3,総合,大和市西鶴間2-1-9  ROY-HOT鶴間店 駐車場,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,056-C-9,139.4510084,35.4848725
西鶴間第二  4,総合,大和市西鶴間2-21-7,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,055-F-7,139.448147,35.4854879
西鶴間第二  2,総合,大和市西鶴間2-24-1  障害福祉センター 松風園,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,055-H-9,139.4496849,35.4848638
西鶴間第二  1,総合,大和市西鶴間2-4  西鶴間二丁目公園,,,回収地区3,A資源-毎月1・3回目月<BR>B資源-毎月2・4回目月<BR>容器包装プラ-毎週水,A資源、B資源、容器包装プラ,,056-B-5,139.4506172,35.4862299
西鶴間南  1,総合,大和市西鶴間3-12  下鶴間ぶどう園,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,056-G-8,139.4534029,35.4848687
西鶴間南  5,総合,大和市西鶴間3-5-18  西鶴間ホームズ,,,回収地区5,A資源-毎月1・3回目水<BR>B資源-毎月2・4回目水<BR>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,056-H-10,139.4540144,35.4839821
西鶴間南  4,総合,大和市西鶴間3-6  隣駐車場,,,回収地区5,A資源-毎月1・3回目水<br>B資源-毎月2・4回目水<br>容器包装プラ-毎週木,A資源、B資源、容器包装プラ,,065-A-3,139.4545455,35.4829289
青葉  1,総合,大和市柳橋3-26  ハイム桜ヶ丘 公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,121-E-3,139.4659368,35.4513966
千本桜  5,総合,大和市福田3277  モミヤマ幼稚園駐車場隣P,,,回収地区9,A資源-毎月1・3回目金<BR>B資源-毎月2・4回目金<BR>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,143-E-2,139.4656796,35.4383772
千本桜  2,総合,大和市福田3339,,,回収地区9,A資源-毎月1・3回目金<br>B資源-毎月2・4回目金<br>容器包装プラ-毎週土,A資源、B資源、容器包装プラ,,142-G-9,139.4623237,35.4352101
中央五丁目  1,総合,大和市中央5-3  中央1号公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-A-3,139.463188,35.4645076
中央五丁目  7,総合,大和市中央5-6-18  老人ホームベストライフ,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-C-5,139.4599944,35.4638791
中央五丁目  8,総合,大和市中央5-7-14  中央5丁目公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,101-G-4,139.45791,35.4642938
中央四丁目  2,総合,大和市中央4-5  中央6号公園,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-E-10,139.4611732,35.4660745
中央四丁目  4,総合,大和市中央4-10  大塚酒店 隣,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,102-B-2,139.4593299,35.4653282
中央四丁目  5,総合,大和市中央4-14-2,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-A-10,139.4589816,35.4663582
中央四丁目  1,総合,大和市中央4-2-12  中央パーキング,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-A-1,139.4632662,35.4656523
中央七丁目  5,総合,大和市中央7-10  中央7丁目広場,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-H-4,139.4671103,35.4597809
中央七丁目  6,総合,大和市中央7-15  中央7丁目市民の森北東側,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-E-5,139.4656046,35.4594841
中央七丁目  1,総合,大和市中央7-1,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,103-G-10,139.4669013,35.4617493
中央七丁目  3,総合,大和市中央7-4　自治会館前,,,回収地区8,A資源-毎月2・4回目火<br>B資源-毎月1・3回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-C-1,139.4643785,35.4612961
中央七丁目  2,総合,大和市中央7-8  クレベール大和向い側畑,,,回収地区8,A資源-毎月2・4回目火<BR>B資源-毎月1・3回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,109-G-1,139.4664994,35.4610466
中央二・三丁目  4,総合,大和市上草柳2-8-12  神島木材（株）,,,回収地区7,A資源-毎月1・3回目火<BR>B資源-毎月2・4回目火<BR>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,091-C-5,139.4559863,35.4684488
中央二・三丁目  16,総合,大和市中央3-3-27  レクシオ大和,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-A-7,139.4590122,35.467842
中央二・三丁目  12,総合,大和市中央2-14  中央3号公園,,,回収地区7,A資源-毎月1・3回目火<br>B資源-毎月2・4回目火<br>容器包装プラ-毎週金,A資源、B資源、容器包装プラ,,092-E-1,139.4610496,35.4702049
